iter	Passed	Remaining
0	145	145638
1	147	73644
2	150	49918
3	151	37607
4	153	30503
5	153	25480
6	156	22171
7	158	19690
8	161	17803
9	164	16248
10	166	14981
11	167	13778
12	168	12783
13	169	11914
14	170	11212
15	171	10557
16	173	10008
17	175	9571
18	176	9128
19	178	8738
20	179	8347
21	180	8030
22	182	7741
23	183	7459
24	185	7229
25	186	6993
26	188	6780
27	189	6585
28	191	6412
29	192	6236
30	193	6054
31	194	5887
32	195	5739
33	197	5600
34	198	5469
35	199	5333
36	200	5214
37	201	5100
38	202	4989
39	203	4884
40	204	4790
41	205	4694
42	206	4599
43	207	4507
44	208	4420
45	209	4335
46	209	4254
47	210	4176
48	211	4100
49	211	4026
50	212	3956
51	213	3888
52	213	3823
53	214	3759
54	215	3698
55	215	3639
56	216	3581
57	217	3525
58	217	3471
59	218	3419
60	219	3372
61	219	3326
62	220	3279
63	221	3232
64	221	3186
65	222	3142
66	222	3099
67	223	3058
68	223	3018
69	224	2978
70	224	2940
71	225	2902
72	225	2866
73	226	2830
74	226	2796
75	227	2762
76	227	2730
77	228	2698
78	228	2668
79	229	2638
80	229	2609
81	230	2580
82	230	2549
83	231	2521
84	231	2495
85	232	2469
86	232	2443
87	233	2418
88	233	2393
89	234	2371
90	235	2350
91	235	2327
92	236	2305
93	237	2284
94	237	2262
95	237	2241
96	238	2219
97	238	2199
98	239	2179
99	239	2159
100	240	2140
101	240	2120
102	241	2102
103	241	2083
104	242	2066
105	242	2048
106	243	2031
107	244	2015
108	244	1998
109	245	1982
110	245	1966
111	246	1951
112	246	1936
113	247	1921
114	247	1906
115	248	1891
116	248	1876
117	249	1862
118	250	1851
119	250	1838
120	251	1826
121	251	1812
122	252	1799
123	252	1786
124	253	1773
125	253	1760
126	254	1747
127	254	1735
128	255	1723
129	255	1711
130	256	1700
131	256	1688
132	257	1677
133	257	1666
134	258	1656
135	258	1645
136	259	1635
137	260	1625
138	260	1615
139	261	1605
140	261	1595
141	262	1583
142	262	1574
143	263	1564
144	263	1554
145	264	1545
146	264	1536
147	265	1528
148	266	1520
149	266	1511
150	267	1502
151	267	1493
152	268	1485
153	268	1476
154	269	1467
155	269	1459
156	270	1451
157	270	1443
158	271	1435
159	272	1428
160	272	1419
161	273	1412
162	273	1404
163	274	1397
164	274	1390
165	275	1383
166	275	1376
167	276	1369
168	276	1361
169	277	1354
170	278	1347
171	278	1341
172	279	1334
173	279	1327
174	280	1321
175	281	1315
176	281	1309
177	282	1303
178	282	1296
179	283	1290
180	283	1284
181	284	1278
182	284	1272
183	285	1266
184	286	1260
185	286	1255
186	287	1249
187	288	1244
188	288	1238
189	289	1233
190	289	1227
191	290	1222
192	291	1217
193	291	1211
194	292	1206
195	292	1200
196	293	1195
197	293	1190
198	294	1184
199	294	1179
200	295	1175
201	296	1171
202	297	1166
203	297	1162
204	298	1157
205	298	1152
206	299	1147
207	300	1142
208	300	1138
209	301	1133
210	302	1129
211	302	1125
212	303	1120
213	303	1116
214	304	1112
215	305	1107
216	305	1103
217	306	1099
218	306	1094
219	307	1090
220	308	1086
221	308	1081
222	309	1077
223	309	1073
224	310	1069
225	311	1065
226	312	1062
227	312	1058
228	313	1055
229	313	1051
230	314	1047
231	315	1044
232	316	1040
233	316	1037
234	317	1034
235	318	1030
236	318	1026
237	319	1022
238	320	1019
239	320	1015
240	321	1012
241	321	1008
242	322	1004
243	323	1001
244	323	997
245	324	994
246	324	990
247	325	986
248	326	983
249	326	980
250	327	977
251	328	974
252	328	971
253	329	968
254	330	964
255	330	961
256	331	958
257	332	955
258	332	952
259	333	948
260	333	945
261	334	942
262	335	939
263	335	936
264	336	932
265	336	929
266	337	926
267	338	923
268	338	920
269	339	916
270	339	913
271	340	910
272	340	907
273	341	905
274	342	903
275	343	902
276	344	899
277	345	897
278	346	895
279	347	892
280	347	890
281	348	888
282	349	885
283	350	883
284	350	880
285	351	877
286	352	874
287	352	871
288	353	869
289	353	866
290	354	863
291	355	860
292	355	858
293	356	855
294	357	853
295	357	851
296	358	849
297	359	846
298	360	844
299	360	841
300	361	839
301	362	836
302	362	834
303	363	832
304	364	829
305	364	827
306	365	824
307	365	821
308	366	819
309	367	817
310	367	814
311	368	812
312	368	809
313	369	807
314	370	804
315	370	802
316	371	800
317	372	798
318	373	796
319	373	794
320	374	792
321	375	790
322	376	788
323	376	785
324	377	783
325	377	781
326	378	779
327	379	776
328	379	774
329	380	772
330	380	769
331	381	767
332	382	765
333	382	762
334	383	760
335	383	758
336	384	756
337	384	754
338	385	752
339	386	749
340	387	748
341	387	746
342	388	744
343	389	742
344	390	740
345	390	738
346	391	736
347	391	734
348	392	732
349	392	729
350	393	727
351	394	725
352	394	723
353	395	721
354	395	719
355	396	717
356	396	715
357	397	712
358	398	710
359	398	708
360	399	706
361	399	704
362	400	702
363	401	700
364	401	698
365	402	697
366	403	695
367	404	694
368	404	692
369	405	690
370	406	688
371	407	687
372	407	685
373	408	683
374	408	681
375	409	679
376	410	678
377	410	676
378	411	674
379	412	672
380	412	670
381	413	669
382	414	667
383	414	665
384	415	663
385	416	662
386	416	660
387	417	659
388	418	657
389	419	656
390	420	654
391	420	652
392	421	651
393	422	649
394	422	647
395	423	646
396	424	644
397	424	642
398	425	641
399	426	639
400	426	637
401	427	636
402	428	634
403	428	632
404	429	630
405	430	629
406	430	627
407	431	625
408	431	624
409	432	622
410	433	621
411	434	619
412	434	618
413	435	616
414	436	615
415	437	613
416	437	612
417	438	610
418	439	608
419	439	607
420	440	605
421	440	603
422	441	602
423	442	600
424	442	599
425	443	597
426	444	596
427	445	594
428	445	593
429	446	591
430	447	590
431	447	588
432	448	587
433	449	586
434	450	584
435	450	583
436	451	581
437	452	580
438	452	578
439	453	577
440	454	575
441	454	574
442	455	572
443	456	571
444	456	569
445	457	568
446	458	566
447	458	565
448	459	563
449	460	562
450	460	560
451	461	559
452	461	557
453	462	556
454	463	554
455	464	553
456	464	552
457	465	551
458	466	549
459	467	548
460	467	546
461	468	545
462	469	544
463	469	542
464	470	541
465	471	539
466	471	538
467	472	537
468	473	535
469	473	534
470	474	532
471	475	531
472	475	530
473	476	528
474	476	527
475	477	525
476	478	524
477	479	523
478	480	522
479	480	520
480	481	519
481	482	518
482	482	516
483	483	515
484	484	514
485	484	512
486	485	511
487	486	510
488	486	508
489	487	507
490	488	505
491	488	504
492	489	503
493	489	501
494	490	500
495	491	499
496	491	497
497	492	496
498	493	495
499	493	493
500	494	492
501	495	491
502	496	490
503	496	488
504	497	487
505	498	486
506	498	484
507	499	483
508	500	482
509	500	481
510	501	479
511	502	478
512	502	477
513	503	476
514	504	474
515	504	473
516	505	472
517	506	470
518	506	469
519	507	468
520	508	467
521	509	466
522	510	465
523	510	464
524	511	463
525	512	461
526	513	460
527	513	459
528	514	458
529	515	457
530	516	455
531	516	454
532	517	453
533	518	452
534	518	450
535	519	449
536	520	448
537	521	447
538	521	446
539	522	445
540	523	443
541	524	442
542	525	441
543	525	440
544	526	439
545	527	438
546	528	437
547	528	436
548	529	434
549	530	433
550	530	432
551	531	431
552	532	430
553	533	429
554	534	428
555	535	427
556	536	426
557	536	425
558	537	424
559	538	423
560	539	422
561	540	421
562	541	419
563	541	418
564	542	417
565	543	416
566	543	415
567	544	414
568	545	412
569	545	411
570	546	410
571	547	409
572	547	408
573	548	407
574	549	406
575	550	404
576	550	403
577	551	402
578	552	401
579	552	400
580	553	399
581	553	397
582	555	396
583	555	395
584	556	394
585	557	393
586	557	392
587	558	391
588	558	389
589	559	388
590	560	387
591	560	386
592	561	385
593	562	384
594	562	383
595	563	382
596	564	380
597	564	379
598	565	378
599	566	377
600	566	376
601	567	375
602	567	373
603	568	372
604	569	371
605	569	370
606	570	369
607	571	368
608	572	367
609	572	366
610	573	364
611	573	363
612	574	362
613	575	361
614	575	360
615	576	359
616	577	358
617	577	357
618	578	356
619	579	355
620	579	353
621	580	352
622	580	351
623	581	350
624	582	349
625	582	348
626	583	346
627	583	345
628	584	344
629	585	343
630	585	342
631	586	341
632	587	340
633	587	339
634	588	338
635	589	337
636	589	336
637	590	335
638	591	334
639	591	332
640	592	331
641	593	330
642	593	329
643	594	328
644	595	327
645	595	326
646	596	325
647	596	324
648	597	323
649	597	321
650	598	320
651	599	319
652	599	318
653	600	317
654	601	316
655	602	315
656	602	314
657	603	313
658	604	312
659	604	311
660	605	310
661	605	309
662	606	308
663	607	307
664	608	306
665	608	305
666	609	304
667	609	303
668	610	302
669	611	300
670	611	299
671	612	298
672	612	297
673	613	296
674	613	295
675	614	294
676	615	293
677	616	292
678	616	291
679	617	290
680	618	289
681	618	288
682	619	287
683	620	286
684	620	285
685	621	284
686	622	283
687	622	282
688	623	281
689	624	280
690	624	279
691	625	278
692	625	277
693	626	276
694	627	275
695	627	274
696	628	273
697	628	272
698	629	271
699	630	270
700	631	269
701	631	268
702	632	267
703	633	266
704	633	265
705	634	264
706	635	263
707	635	262
708	636	261
709	637	260
710	637	259
711	638	258
712	638	257
713	639	256
714	640	255
715	640	254
716	641	253
717	641	252
718	642	251
719	643	250
720	643	249
721	644	248
722	645	247
723	645	246
724	646	245
725	647	244
726	648	243
727	648	242
728	649	241
729	650	240
730	650	239
731	651	238
732	651	237
733	652	236
734	653	235
735	653	234
736	654	233
737	654	232
738	655	231
739	656	230
740	656	229
741	657	228
742	657	227
743	658	226
744	659	225
745	659	224
746	660	223
747	661	222
748	662	221
749	663	221
750	663	220
751	664	219
752	665	218
753	665	217
754	666	216
755	666	215
756	667	214
757	667	213
758	668	212
759	669	211
760	669	210
761	670	209
762	670	208
763	671	207
764	672	206
765	672	205
766	673	204
767	674	203
768	674	202
769	675	201
770	675	200
771	676	199
772	677	198
773	678	198
774	678	197
775	679	196
776	680	195
777	680	194
778	681	193
779	681	192
780	682	191
781	682	190
782	683	189
783	684	188
784	684	187
785	685	186
786	686	185
787	686	184
788	687	183
789	688	182
790	688	182
791	689	181
792	690	180
793	690	179
794	691	178
795	692	177
796	693	176
797	694	175
798	694	174
799	695	173
800	696	172
801	696	171
802	697	171
803	697	170
804	698	169
805	698	168
806	699	167
807	700	166
808	700	165
809	701	164
810	702	163
811	702	162
812	703	161
813	703	160
814	704	159
815	705	159
816	705	158
817	706	157
818	706	156
819	707	155
820	708	154
821	709	153
822	709	152
823	710	151
824	710	150
825	711	149
826	712	148
827	712	148
828	713	147
829	713	146
830	714	145
831	715	144
832	715	143
833	716	142
834	717	141
835	717	140
836	718	139
837	719	139
838	719	138
839	720	137
840	720	136
841	721	135
842	721	134
843	722	133
844	723	132
845	724	131
846	725	130
847	725	130
848	726	129
849	727	128
850	727	127
851	728	126
852	729	125
853	729	124
854	730	123
855	731	123
856	732	122
857	732	121
858	733	120
859	733	119
860	734	118
861	735	117
862	735	116
863	736	115
864	737	115
865	737	114
866	738	113
867	739	112
868	740	111
869	740	110
870	741	109
871	741	108
872	742	108
873	743	107
874	743	106
875	744	105
876	745	104
877	745	103
878	746	102
879	747	101
880	747	101
881	748	100
882	748	99
883	749	98
884	750	97
885	750	96
886	751	95
887	751	94
888	752	93
889	753	93
890	754	92
891	755	91
892	755	90
893	756	89
894	757	88
895	757	87
896	758	87
897	759	86
898	759	85
899	760	84
900	760	83
901	761	82
902	762	81
903	762	81
904	763	80
905	763	79
906	764	78
907	765	77
908	765	76
909	766	75
910	766	74
911	767	74
912	767	73
913	768	72
914	769	71
915	770	70
916	771	69
917	771	68
918	772	68
919	773	67
920	773	66
921	774	65
922	775	64
923	775	63
924	776	62
925	776	62
926	777	61
927	778	60
928	778	59
929	779	58
930	779	57
931	780	56
932	780	56
933	781	55
934	781	54
935	782	53
936	783	52
937	783	51
938	784	50
939	785	50
940	786	49
941	786	48
942	787	47
943	788	46
944	788	45
945	789	45
946	790	44
947	790	43
948	791	42
949	791	41
950	792	40
951	793	39
952	793	39
953	794	38
954	794	37
955	795	36
956	795	35
957	796	34
958	797	34
959	797	33
960	798	32
961	798	31
962	799	30
963	800	29
964	801	29
965	801	28
966	802	27
967	803	26
968	803	25
969	804	24
970	805	24
971	805	23
972	806	22
973	806	21
974	807	20
975	808	19
976	808	19
977	809	18
978	809	17
979	810	16
980	810	15
981	811	14
982	812	14
983	812	13
984	813	12
985	814	11
986	815	10
987	815	9
988	816	9
989	817	8
990	818	7
991	818	6
992	819	5
993	820	4
994	820	4
995	821	3
996	821	2
997	822	1
998	822	0
999	823	0
